,Predicted,question
0,how,manner How did serfdom develop in and then leave Russia ?
1,what,cremat What films featured the character Popeye Doyle ?
2,what,manner How can I find a list of celebrities ' real names ?
3,what,animal What fowl grabs the spotlight after the Chinese Year of the Monkey ?
4,what,exp What is the full form of .com ?
5,what,ind What contemptible scoundrel stole the cork from my lunch ?
6,what,gr What team did baseball 's St. Louis Browns become ?
7,what,title What is the oldest profession ?
8,what,def What are liver enzymes ?
9,unknown,ind Name the scar-faced bounty hunter of The Old West .
10,when,date When was Ozzy Osbourne born ?
11,what,reason Why do heavier objects travel downhill faster ?
12,who,ind Who was The Pride of the Yankees ?
13,who,ind Who killed Gandhi ?
14,what,event What is considered the costliest disaster the insurance industry has ever faced ?
15,what,state What sprawling U.S. state boasts the most airports ?
16,what,desc What did the only repealed amendment to the U.S. Constitution deal with ?
17,how,count How many Jews were executed in concentration camps during WWII ?
18,what,def What is `` Nine Inch Nails '' ?
19,what,def What is an annotated bibliography ?
20,what,date What is the date of Boxing Day ?
21,what,other What articles of clothing are tokens in Monopoly ?
22,who,ind Name 11 famous martyrs .
23,what,desc What 's the Olympic motto ?
24,what,desc What is the origin of the name ` Scarlett ' ?
25,what,letter What 's the second-most-used vowel in English ?
26,who,ind Who was the inventor of silly putty ?
27,what,other What is the highest waterfall in the United States ?
28,what,other Name a golf course in Myrtle Beach .
29,what,state Which two states enclose Chesapeake Bay ?
30,what,exp What does the abbreviation AIDS stand for ?
31,what,other What does a spermologer collect ?
32,how,count How many points make up a perfect fivepin bowling score ?
33,what,gr Which company that manufactures video-game hardware sells the `` super system '' ?
34,how,count How many Community Chest cards are there in Monopoly ?
35,what,desc What do Mormons believe ?
36,when,date When did the neanderthal man live ?
37,what,religion In what religion was Isis the nature goddess ?
38,what,other Where do the adventures of `` The Swiss Family Robinson '' take place ?
39,what,animal What relative of the racoon is sometimes known as the cat-bear ?
40,how,manner How can I register my website in Yahoo for free ?
41,what,other What was cash-conscious Colonel Edwin L. Drake the first to drill ?
42,how,count How many people in the world speak French ?
43,how,count How many inches over six feet is the Venus de Milo ?
44,how,manner How do they find or choose witnesses to an execution ?
45,what,ind What 1920s cowboy star rode Tony the Wonder Horse ?
46,what,food What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?
47,what,gr What ISPs exist in the Caribbean ?
48,how,manner How do you ask a total stranger out on a date ?
49,what,other What weapon is the mythological character Apollo most proficient with ?
50,what,country What country do the Galapagos Islands belong to ?
51,what,def What is ethology ?
52,who,ind Who was the prophet of the Muslim people ?
53,when,desc Where did the term `` 86ed '' come from ?
54,who,ind Who is Snoopy 's arch-enemy ?
55,what,def What is the nature of learning ?
56,what,color What 's the only color Johnny Cash wears on stage ?
57,what,termeq What 's the term for a young fox ?
58,what,state What U.S. state lived under six flags ?
59,what,def What is the Kashmir issue ?
60,what,other Where is the Loop ?
61,what,def What does `` extended definition '' mean and how would one write a paper on it ?
