,question,label
0,what films featured the character popeye doyle ? ,what
1,what fowl grabs the spotlight after the chinese year of the monkey ? ,what
2,what is the full form of .com ? ,what
3,what contemptible scoundrel stole the cork from my lunch ? ,what
4,what team did baseball 's st. louis browns become ? ,what
5,what is the oldest profession ? ,what
6,what are liver enzymes ? ,what
7,when was ozzy osbourne born ? ,when
8,who was the pride of the yankees ? ,who
9,who killed gandhi ? ,who
10,what is considered the costliest disaster the insurance industry has ever faced ? ,what
11,what sprawling u.s. state boasts the most airports ? ,what
12,what did the only repealed amendment to the u.s. constitution deal with ? ,what
13,what is `` nine inch nails '' ? ,what
14,what is an annotated bibliography ? ,what
15,what is the date of boxing day ? ,what
16,what articles of clothing are tokens in monopoly ? ,what
17,what 's the olympic motto ? ,what
18,what is the origin of the name ` scarlett ' ? ,what
19,what 's the second-most-used vowel in english ? ,what
20,who was the inventor of silly putty ? ,who
21,what is the highest waterfall in the united states ? ,what
22,what does the abbreviation aids stand for ? ,what
23,what does a spermologer collect ? ,what
24,what do mormons believe ? ,what
25,when did the neanderthal man live ? ,when
26,in what religion was isis the nature goddess ? ,what
27,what relative of the racoon is sometimes known as the cat-bear ? ,what
28,what was cash-conscious colonel edwin l. drake the first to drill ? ,what
29,what 1920s cowboy star rode tony the wonder horse ? ,what
30,what cocktail inspired john doxat to write the book stirred-not shaken ? ,what
31,what isps exist in the caribbean ? ,what
32,what weapon is the mythological character apollo most proficient with ? ,what
33,what country do the galapagos islands belong to ? ,what
34,what is ethology ? ,what
35,who was the prophet of the muslim people ? ,who
36,who is snoopy 's arch-enemy ? ,who
37,what is the nature of learning ? ,what
38,what 's the only color johnny cash wears on stage ? ,what
39,what 's the term for a young fox ? ,what
40,what u.s. state lived under six flags ? ,what
41,what is the kashmir issue ? ,what
42,what does `` extended definition '' mean and how would one write a paper on it ? ,what
43,what country 's capital is tirana ? ,what
44,what is titanium ? ,what
45,who do herb and tootsie live next door to ? ,who
46,what is a caldera ? ,what
47,what are the names of the tourist attractions in reims ? ,what
48,what are cushman and wakefield known for ? ,what
49,what body of water does the danube river flow into ? ,what
50,who is the founder of scientology ? ,who
51,what does the six-footed musca domestica become when it enters a house ? ,what
52,what is the history of skateboarding ? ,what
53,who starred in singing in the rain and the singing nun ? ,who
54,what 19th-century painter died in the marquesas islands ? ,what
55,the corpus callosum is in what part of the body ? ,what
56,what country did the nazis occupy for ? . ,what
57,what is nebraska 's most valuable resource ? ,what
58,what is the origin of head lice ? ,what
59,what is the nickname for the state of mississippi ? ,what
60,what was the first domesticated bird ? ,what
61,what country did king wenceslas rule ? ,what
62,what is a fear of shadows ? ,what
63,who were the five marx brothers ? ,who
64,when did cnn begin broadcasting ? ,when
65,what causes the body to shiver in cold temperatures ? ,what
66,what are bear and bull markets ? ,what
67,what j.r.r. tolkien book features bilbo baggins as the central character ? ,what
68,what is `` dew point '' ? ,what
69,what is the meaning of jesus ? ,what
70,what company 's logo is a `` w '' in a circle ? ,what
71,what is the definition of a cascade ? ,what
72,when did rococo painting and architecture flourish ? ,what
73,what country 's national passenger rail system is called via ? ,what
74,who invented make-up ? ,who
75,what is the origin of the word `` attic '' ? ,what
76,what did delilah do to samson 's hair ? ,what
77,what kind of animals were in the paleozoic era ? ,what
78,who comprised the now-defunct comic book team known as the champions ? ,who
79,what u.s. state is fort knox in ? ,what
80,what is a female rabbit called ? ,what
81,what are the world 's four oceans ? ,what
82,what 's the only work by michelangelo that bears his signature ? ,what
83,what is the largest snake in the world ? ,what
84,in what medium is stuart hamblen considered to be the first singing cowboy ? ,what
85,what 's the common name for acetylsalicylic acid ? ,what
86,what does the georgetown `` hoya '' mean ? ,what
87,what is the historical relationship of catholic church and bingo ? ,what
88,what crooner joined the andrews sisters for pistol packin mama ? ,what
89,what piano company claims its product is the `` instrument of the immortals '' ? ,what
90,what novel inspired the movie bladerunner ? ,what
91,what is a transistor ? ,what
92,what is a film starring jude law ? ,what
93,what hollywood dog died in the arms of jean harlow in 1932 ? ,what
94,what are the most common elements in the earth 's crust ? ,what
95,what actress has received the most oscar nominations ? ,what
96,what are equity securities ? ,what
97,what is gymnophobia ? ,what
98,what was the name of the `` little rascals '' dog ? ,what
99,what broadway musical was inspired by cervantes 's don quixote ? ,what
100,what is the origin of the word . ? ,what
101,what does inri stand for when used on jesus ' cross ? ,what
102,who produces spumante ? ,who
103,who earns their money the hard way ? ,who
104,who founded the people 's temple commune ? ,who
105,what athlete makes the most money from sports merchandise sales ? ,what
106,who discovered electricity ? ,who
107,what part of your body contains the corpus callosum ? ,what
108,who was the first american in space ? ,who
109,what two south american countries do n't border brazil ? ,what
110,what album put the beatles on the cover of time in 1967 ? ,what
111,what is a dental root canal ? ,what
112,what war did the wanna-go-home riots occur after ? ,what
113,what is the busiest air travel season ? ,what
114,what 's the colored part of the eye called ? ,what
115,what are hook worms ? ,what
116,who is the mayor of marbella ? ,who
117,in what year did thatcher become prime minister ? ,what
118,in what year was de gaulle elected president of france ? ,what
119,who sings the themes for `` dawson 's creek '' and `` felicity '' ? ,who
120,who directed `` jaws '' ? ,who
121,on what t.v. show could tom terrific be found ? ,what
122,what indian tribe is f troop perpetually doing battle with ? ,what
123,what is the name of the city that maurizio pellegrin lives in ? ,what
124,what causes pneumonia ? ,what
125,what are the three winter months in the southern hemisphere ? ,what
126,what does gringo mean ? ,what
127,what country contains africa 's northernmost point ? ,what
128,what therapy attempts to elicit the `` primal scream '' ? ,what
129,what city is sometimes called gotham ? ,what
130,what dangles over the tongue from the palate ? ,what
131,who created dennis the menace ? ,who
132,what dummy received an honorary degree from northwestern university ? ,what
133,what countries have the largest areas of forest ? ,what
134,what is eagle 's syndrome styloid process ? ,what
135,when did the royal wedding of prince andrew and fergie take place ? ,when
136,what actor said in a day at the races : `` either he 's dead or my watch has stopped '' ? ,what
137,what explorer was nicknamed iberia 's pilot ? ,what
138,cnn began broadcasting in what year ? ,what
139,what is a ball that hits the foul pole called ? ,what
140,what makes hamburgers taste like steakburgers ? ,what
141,what are the rites accompanying the circumcision of a newly born-child in judaism called ? ,what
142,what was the education system in the 1960 's ? ,what
143,what south american city has the world 's highest commercial landing field ? ,what
144,what is betsy ross famous for ? ,what
145,what is `` snoogans '' ? ,what
146,what shrubs can be planted that will be safe from deer ? ,what
147,what organization 's offices were broken into at watergate in 1972 ? ,what
148,what is the design of the ship titanic ? ,what
149,what does s.o.s. stand for ? ,what
